GEOID,NAME,estimate
13117,"Forsyth County, Georgia",219880
13119,"Franklin County, Georgia",22514
13121,"Fulton County, Georgia",1021902
13123,"Gilmer County, Georgia",29922
13125,"Glascock County, Georgia",3009
13127,"Glynn County, Georgia",83974
13129,"Gordon County, Georgia",56790
13131,"Grady County, Georgia",24926
13133,"Greene County, Georgia",16976
13135,"Gwinnett County, Georgia",902298
13137,"Habersham County, Georgia",44289
13139,"Hall County, Georgia",195961
13141,"Hancock County, Georgia",8535
13143,"Haralson County, Georgia",28956
13145,"Harris County, Georgia",33590
13147,"Hart County, Georgia",25631
13149,"Heard County, Georgia",11677
13151,"Henry County, Georgia",221307
13153,"Houston County, Georgia",151682
13155,"Irwin County, Georgia",9268
13157,"Jackson County, Georgia",65755
13159,"Jasper County, Georgia",13784
13161,"Jeff Davis County, Georgia",14991
13163,"Jefferson County, Georgia",15772
13165,"Jenkins County, Georgia",8827
13167,"Johnson County, Georgia",9730
13169,"Jones County, Georgia",28548
13171,"Lamar County, Georgia",18513
13173,"Lanier County, Georgia",10366
13175,"Laurens County, Georgia",47418
13177,"Lee County, Georgia",29348
13179,"Liberty County, Georgia",62108
13181,"Lincoln County, Georgia",7799
13183,"Long County, Georgia",18156
13185,"Lowndes County, Georgia",114582
13187,"Lumpkin County, Georgia",31951
13189,"McDuffie County, Georgia",21498
13191,"McIntosh County, Georgia",14120
13193,"Macon County, Georgia",13480
13195,"Madison County, Georgia",28900
13197,"Marion County, Georgia",8484
13199,"Meriwether County, Georgia",21113
13201,"Miller County, Georgia",5836
13205,"Mitchell County, Georgia",22432
13207,"Monroe County, Georgia",27010
13209,"Montgomery County, Georgia",9036
13211,"Morgan County, Georgia",18235
13213,"Murray County, Georgia",39557
13215,"Muscogee County, Georgia",196670
13217,"Newton County, Georgia",106497
13219,"Oconee County, Georgia",37017
13221,"Oglethorpe County, Georgia",14784
13223,"Paulding County, Georgia",155840
13225,"Peach County, Georgia",26966
13227,"Pickens County, Georgia",30832
13229,"Pierce County, Georgia",19164
13231,"Pike County, Georgia",18082
13233,"Polk County, Georgia",41621
13235,"Pulaski County, Georgia",11295
13237,"Putnam County, Georgia",21503
13239,"Quitman County, Georgia",2276
13241,"Rabun County, Georgia",16457
13243,"Randolph County, Georgia",7087
13245,"Richmond County, Georgia",201463
13247,"Rockdale County, Georgia",89011
13249,"Schley County, Georgia",5211
13251,"Screven County, Georgia",13990
13253,"Seminole County, Georgia",8437
13255,"Spalding County, Georgia",64719
13257,"Stephens County, Georgia",25676
13259,"Stewart County, Georgia",6042
13261,"Sumter County, Georgia",30352
13263,"Talbot County, Georgia",6378
13265,"Taliaferro County, Georgia",1665
13267,"Tattnall County, Georgia",25353
13269,"Taylor County, Georgia",8193
13271,"Telfair County, Georgia",16115
13273,"Terrell County, Georgia",8859
13275,"Thomas County, Georgia",44730
13277,"Tift County, Georgia",40510
13279,"Toombs County, Georgia",27048
13281,"Towns County, Georgia",11417
13283,"Treutlen County, Georgia",6777
13285,"Troup County, Georgia",69774
13287,"Turner County, Georgia",7962
13289,"Twiggs County, Georgia",8284
13291,"Union County, Georgia",22775
13293,"Upson County, Georgia",26216
13295,"Walker County, Georgia",68824
13297,"Walton County, Georgia",90132
13299,"Ware County, Georgia",35599
13301,"Warren County, Georgia",5346
13303,"Washington County, Georgia",20461
13305,"Wayne County, Georgia",29767
13307,"Webster County, Georgia",2613
13309,"Wheeler County, Georgia",7939
13311,"White County, Georgia",28928
13313,"Whitfield County, Georgia",103849
13315,"Wilcox County, Georgia",8846
13317,"Wilkes County, Georgia",9884
13319,"Wilkinson County, Georgia",9078
13321,"Worth County, Georgia",20656
15001,"Hawaii County, Hawaii",197658
15003,"Honolulu County, Hawaii",987638
15005,"Kalawao County, Hawaii",75
15007,"Kauai County, Hawaii",71377
15009,"Maui County, Hawaii",165281
16001,"Ada County, Idaho",446052
16003,"Adams County, Idaho",4019
16005,"Bannock County, Idaho",85065
16007,"Bear Lake County, Idaho",5962
16009,"Benewah County, Idaho",9086
16011,"Bingham County, Idaho",45551
16013,"Blaine County, Idaho",21994
16015,"Boise County, Idaho",7163
16017,"Bonner County, Idaho",42711
16019,"Bonneville County, Idaho",112397
16021,"Boundary County, Idaho",11549
16023,"Butte County, Idaho",2602
16025,"Camas County, Idaho",886
16027,"Canyon County, Idaho",212230
16029,"Caribou County, Idaho",6918
16031,"Cassia County, Idaho",23615
16033,"Clark County, Idaho",1077
16035,"Clearwater County, Idaho",8640
16037,"Custer County, Idaho",4141
16039,"Elmore County, Idaho",26433
16041,"Franklin County, Idaho",13279
16043,"Fremont County, Idaho",12965
16045,"Gem County, Idaho",17052
16047,"Gooding County, Idaho",15169
16049,"Idaho County, Idaho",16337
