county_name,state,population
Clay County,KS,8535
Clay County,KY,21730
Clay County,MN,58999
Clay County,MO,221939
Clay County,MS,20634
Clay County,NC,10587
Clay County,NE,6542
Clay County,SD,13864
Clay County,TN,7861
Clay County,TX,10752
Clay County,WV,9386
Clayton County,GA,259424
Clayton County,IA,18129
Clear Creek County,CO,9088
Clearfield County,PA,81642
Clearwater County,ID,8761
Clearwater County,MN,8695
Cleburne County,AL,14972
Cleburne County,AR,25970
Clermont County,OH,197363
Cleveland County,AR,8689
Cleveland County,NC,98078
Cleveland County,OK,255755
Clinch County,GA,6798
Clinton County,IA,49116
Clinton County,IL,37762
Clinton County,IN,33224
Clinton County,KY,10272
Clinton County,MI,75382
Clinton County,MO,20743
Clinton County,NY,82128
Clinton County,OH,42040
Clinton County,PA,39238
Cloud County,KS,9533
Coahoma County,MS,26151
Coal County,OK,5925
Coamo Municipio,PR,40512
Cobb County,GA,688078
Cochise County,AZ,131346
Cochran County,TX,3127
Cocke County,TN,35662
Coconino County,AZ,134421
Codington County,SD,27227
Coffee County,AL,49948
Coffee County,GA,42356
Coffee County,TN,52796
Coffey County,KS,8601
Coke County,TX,3320
Colbert County,AL,54428
Cole County,MO,75990
Coleman County,TX,8895
Coles County,IL,53873
Colfax County,NE,10515
Colfax County,NM,13750
Colleton County,SC,38892
Collier County,FL,321520
Collin County,TX,782341
Collingsworth County,TX,3057
Colonial Heights city,VA,17411
Colorado County,TX,20874
Colquitt County,GA,45498
Columbia County,AR,24552
Columbia County,FL,67531
Columbia County,GA,124053
Columbia County,NY,63096
Columbia County,OR,49351
Columbia County,PA,67295
Columbia County,WA,4078
Columbia County,WI,56833
Columbiana County,OH,107841
Columbus County,NC,58098
Colusa County,CA,21419
Comal County,TX,108472
Comanche County,KS,1891
Comanche County,OK,124098
Comanche County,TX,13974
Comerío Municipio,PR,20778
Concho County,TX,4087
Concordia Parish,LA,20822
Conecuh County,AL,13228
Conejos County,CO,8256
Contra Costa County,CA,1049025
Converse County,WY,13833
Conway County,AR,21273
Cook County,GA,17212
Cook County,IL,5194675
Cook County,MN,5176
Cooke County,TX,38437
Cooper County,MO,17601
Coos County,NH,33055
Coos County,OR,63043
Coosa County,AL,11539
Copiah County,MS,29449
Corozal Municipio,PR,37142
Corson County,SD,4050
Cortland County,NY,49336
Coryell County,TX,75388
Coshocton County,OH,36901
Costilla County,CO,3524
Cottle County,TX,1505
Cotton County,OK,6193
Cottonwood County,MN,11687
Covington County,AL,37765
Covington County,MS,19568
Covington city,VA,5961
Coweta County,GA,127317
Cowley County,KS,36311
Cowlitz County,WA,102410
Craig County,OK,15029
Craig County,VA,5190
Craighead County,AR,96443
Crane County,TX,4375
Craven County,NC,103505
Crawford County,AR,61948
Crawford County,GA,12630
Crawford County,IA,17096
Crawford County,IL,19817
Crawford County,IN,10713
Crawford County,KS,39134
Crawford County,MI,14074
Crawford County,MO,24696
Crawford County,OH,43784
Crawford County,PA,88765
Crawford County,WI,16644
Creek County,OK,69967
Crenshaw County,AL,13906
Crisp County,GA,23439
Crittenden County,AR,50902
Crittenden County,KY,9315
Crockett County,TN,14586
Crockett County,TX,3719
Crook County,OR,20978
Crook County,WY,7083
Crosby County,TX,6059
Cross County,AR,17870
Crow Wing County,MN,62500
Crowley County,CO,5823
Culberson County,TX,2398
Culebra Municipio,PR,1818
Cullman County,AL,80406
Culpeper County,VA,46689
Cumberland County,IL,11048
Cumberland County,KY,6856
Cumberland County,ME,281674
Cumberland County,NC,319431
Cumberland County,NJ,156898
Cumberland County,PA,235406
Cumberland County,TN,56053
Cumberland County,VA,10052
Cuming County,NE,9139
Currituck County,NC,23547
Curry County,NM,48376
Curry County,OR,22364
Custer County,CO,4255
Custer County,ID,4368
Custer County,MT,11699
Custer County,NE,10939
Custer County,OK,27469
Custer County,SD,8216
Cuyahoga County,OH,1280122
Dade County,GA,16633
Dade County,MO,7883
Daggett County,UT,1059
Dakota County,MN,398552
Dakota County,NE,21006
Dale County,AL,50251
Dallam County,TX,6703
Dallas County,AL,43820
Dallas County,AR,8116
Dallas County,IA,66135
Dallas County,MO,16777
Dallas County,TX,2368139
Dane County,WI,488073
Daniels County,MT,1751
Danville city,VA,43055
Dare County,NC,33920
Darke County,OH,52959
Darlington County,SC,68681
Dauphin County,PA,268100
Davidson County,NC,162878
Davidson County,TN,626681
Davie County,NC,41240
Daviess County,IN,31648
Daviess County,KY,96656
Daviess County,MO,8433
Davis County,IA,8753
Davis County,UT,306479
Davison County,SD,19504
Dawes County,NE,9182
Dawson County,GA,22330
Dawson County,MT,8966
Dawson County,NE,24326
Dawson County,TX,13833
Day County,SD,5710
De Baca County,NM,2022
De Soto Parish,LA,26656
De Witt County,IL,16561
DeKalb County,AL,71109
DeKalb County,GA,691893
DeKalb County,IL,105160
DeKalb County,IN,42223
DeKalb County,MO,12892
DeKalb County,TN,18723
DeSoto County,FL,34862
DeSoto County,MS,161252
DeWitt County,TX,20097
Deaf Smith County,TX,19372
Dearborn County,IN,50047
Decatur County,GA,27842
Decatur County,IA,8457
Decatur County,IN,25740
Decatur County,KS,2961
Decatur County,TN,11757
Deer Lodge County,MT,9298
Defiance County,OH,39037
Del Norte County,CA,28610
Delaware County,IA,17764
Delaware County,IN,117671
Delaware County,NY,47980
Delaware County,OH,174214
Delaware County,OK,41487
Delaware County,PA,558979
Delta County,CO,30952
Delta County,MI,37069
