Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,Central/Outlying County,FIPS_combined,FIPS_population,mix_index,mix_index_population
"Warren-Troy-Farmington Hills, MI","Detroit-Warren-Ann Arbor, MI",Livingston County,Michigan,Outlying,26093,188482,"Warren-Troy-Farmington Hills, MI",2555797.0
"Warren-Troy-Farmington Hills, MI","Detroit-Warren-Ann Arbor, MI",Macomb County,Michigan,Central,26099,868704,"Warren-Troy-Farmington Hills, MI",2555797.0
"Warren-Troy-Farmington Hills, MI","Detroit-Warren-Ann Arbor, MI",Oakland County,Michigan,Central,26125,1250843,"Warren-Troy-Farmington Hills, MI",2555797.0
"Warren-Troy-Farmington Hills, MI","Detroit-Warren-Ann Arbor, MI",St. Clair County,Michigan,Outlying,26147,159566,"Warren-Troy-Farmington Hills, MI",2555797.0
,"Raleigh-Durham-Cary, NC",Chatham County,North Carolina,Central,37037,69791,"Raleigh-Durham-Cary, NC",1964479.0
,"Raleigh-Durham-Cary, NC",Durham County,North Carolina,Central,37063,306457,"Raleigh-Durham-Cary, NC",1964479.0
,"Raleigh-Durham-Cary, NC",Granville County,North Carolina,Outlying,37077,58874,"Raleigh-Durham-Cary, NC",1964479.0
,"Raleigh-Durham-Cary, NC",Orange County,North Carolina,Central,37135,142938,"Raleigh-Durham-Cary, NC",1964479.0
,"Raleigh-Durham-Cary, NC",Person County,North Carolina,Outlying,37145,39305,"Raleigh-Durham-Cary, NC",1964479.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Talbot County,Maryland,Central,24041,37211,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"New York-Newark, NY-NJ-CT-PA",Monroe County,Pennsylvania,Central,42089,167586,"New York-Newark, NY-NJ-CT-PA",3374490.0
,"Houston-The Woodlands, TX",Wharton County,Texas,Central,48481,41551,"Houston-The Woodlands, TX",6963733.0
,"Virginia Beach-Norfolk, VA-NC",Pasquotank County,North Carolina,Central,37139,39479,"Virginia Beach-Norfolk, VA-NC",1847277.0
,"Virginia Beach-Norfolk, VA-NC",Perquimans County,North Carolina,Outlying,37143,13459,"Virginia Beach-Norfolk, VA-NC",1847277.0
,"Minneapolis-St. Paul, MN-WI",Rice County,Minnesota,Central,27131,65765,"Minneapolis-St. Paul, MN-WI",3923697.0
,"St. Louis-St. Charles-Farmington, MO-IL",St. Francois County,Missouri,Central,29187,66342,"St. Louis-St. Charles-Farmington, MO-IL",2909977.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Hall County,Georgia,Central,13139,195961,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Denver-Aurora, CO",Weld County,Colorado,Central,08123,295123,"Denver-Aurora, CO",3466374.0
,"Greensboro--Winston-Salem--High Point, NC",Guilford County,North Carolina,Central,37081,523582,"Greensboro--Winston-Salem--High Point, NC",1652283.0
,"Greensboro--Winston-Salem--High Point, NC",Randolph County,North Carolina,Outlying,37151,142958,"Greensboro--Winston-Salem--High Point, NC",1652283.0
,"Greensboro--Winston-Salem--High Point, NC",Rockingham County,North Carolina,Outlying,37157,91270,"Greensboro--Winston-Salem--High Point, NC",1652283.0
,"Indianapolis-Carmel-Muncie, IN",Decatur County,Indiana,Central,18031,26552,"Indianapolis-Carmel-Muncie, IN",2389982.0
,"San Juan-Bayamón, PR",Arroyo Municipio,Puerto Rico,Central,72015,18111,"San Juan-Bayamón, PR",2432066.0
,"San Juan-Bayamón, PR",Guayama Municipio,Puerto Rico,Central,72057,41706,"San Juan-Bayamón, PR",2432066.0
,"San Juan-Bayamón, PR",Patillas Municipio,Puerto Rico,Central,72109,17334,"San Juan-Bayamón, PR",2432066.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Washington County,Maryland,Central,24043,149811,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Berkeley County,West Virginia,Central,54003,113495,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Morgan County,West Virginia,Outlying,54065,17624,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Salt Lake City-Provo-Orem, UT",Summit County,Utah,Central,49043,40511,"Salt Lake City-Provo-Orem, UT",2511156.0
,"Salt Lake City-Provo-Orem, UT",Wasatch County,Utah,Outlying,49051,30523,"Salt Lake City-Provo-Orem, UT",2511156.0
,"Raleigh-Durham-Cary, NC",Vance County,North Carolina,Central,37181,44482,"Raleigh-Durham-Cary, NC",1964479.0
,"Houston-The Woodlands, TX",Austin County,Texas,Outlying,48015,29565,"Houston-The Woodlands, TX",6963733.0
